id,title,price,region,city,rooms,area_m2,floor,total_floors,year
1010232915,2-комнатная квартира · 39 м² · 5/5 этаж,37 000 000〒,"Турксибский р-н, мкр Кайрат, Мкр. Кайрат, 152/1 152/1",Алматы,2,39.0,5.0,5.0,2024.0
1004938135,3-комнатная квартира · 62 м² · 2/5 этаж,14 500 000〒,Мира 53,Темиртау,3,62.0,2.0,5.0,1978.0
697602060,2-комнатная квартира · 94 м² · 1/9 этаж,39 000 000〒,"мкр. Алтын орда, Молдагулова",Актобе,2,94.0,1.0,9.0,2016.0
1011050329,2-комнатная квартира · 67.16 м² · 8/17 этаж,49 800 000〒,"Есильский р-н, Жошы хана 12/1",Астана,2,67.16,8.0,17.0,2026.0
1006846636,4-комнатная квартира · 136 м² · 24/25 этаж,127 000 000〒,"Сарайшык р-н, Р. Кошкарбаева 10",Астана,4,136.0,24.0,25.0,2015.0
673782053,3-комнатная квартира · 58 м² · 5/5 этаж,10 000 000〒,Мангілік ел 18,Сатпаев,3,58.0,5.0,5.0,1960.0
695882131,2-комнатная квартира · 53 м² · 18/19 этаж,38 000 000〒,"Есильский р-н, Мангилик Ел 72/1 — Напротив новой мечети",Астана,2,53.0,18.0,19.0,2022.0
1000562540,2-комнатная квартира · 43 м² · 3/5 этаж,18 000 000〒,14 микрорайон 1 — 32 школа,Семей,2,43.0,3.0,5.0,1976.0
1010835073,4-комнатная квартира · 80 м² · 10/13 этаж,60 000 000〒,"Нура р-н, Максут Нарикбаев 6 — Мухамедханова",Астана,4,80.0,10.0,13.0,2023.0
1010451126,3-комнатная квартира · 83 м² · 4/9 этаж,77 700 000〒,"Наурызбайский р-н, Аскарова Асанбая — Асанбая Аскарова 21/20",Алматы,3,83.0,4.0,9.0,2016.0
690738836,3-комнатная квартира · 67 м² · 2/5 этаж,23 000 000〒,"Казыбек би р-н, мкр Юго-Восток, Муканова — Омц, спеццон",Караганда,3,67.0,2.0,5.0,1973.0
682574486,3-комнатная квартира · 69 м² · 1/5 этаж,48 000 000〒,"Жетысуский р-н, мкр Кулагер, Серикова — улица Серикова",Алматы,3,69.0,1.0,5.0,2000.0
1011681327,1-комнатная квартира · 47 м² · 3/5 этаж,18 100 000〒,Алтын орда 44в,Актобе,1,47.0,3.0,5.0,2018.0
1011681316,3-комнатная квартира · 70 м² · 2/5 этаж,26 000 000〒,"Каратал, Каратал 1",Талдыкорган,3,70.0,2.0,5.0,1990.0
1011681311,1-комнатная квартира · 22 м² · 4/5 этаж,10 000 000〒,Текстильщиков 3,Костанай,1,22.0,4.0,5.0,1983.0
1011681315,3-комнатная квартира · 61 м² · 6/9 этаж,22 500 000〒,Сатпаева 42,Петропавловск,3,61.0,6.0,9.0,1978.0
1011133157,4-комнатная квартира · 128 м² · 10/18 этаж,118 000 000〒,"Бостандыкский р-н, Розыбакиева 237",Алматы,4,128.0,10.0,18.0,2020.0
1011681255,3-комнатная квартира · 67.5 м² · 16/17 этаж,31 000 000〒,"Алматы р-н, Кудайбердыулы 33",Астана,3,67.5,16.0,17.0,2021.0
1011012894,2-комнатная квартира · 77.6 м² · 9/26 этаж,48 000 000〒,"Есильский р-н, Динмухаммед Кунаев 12",Астана,2,77.6,9.0,26.0,2010.0
1009718767,2-комнатная квартира · 66.1 м² · 3/23 этаж,60 000 000〒,"Есильский р-н, Орынбор 1А 1 А — Ботанический сад",Астана,2,66.1,3.0,23.0,2017.0
1010561611,3-комнатная квартира · 91 м² · 2/12 этаж,75 000 000〒,"Алматы р-н, Байтурсынова 16",Астана,3,91.0,2.0,12.0,2022.0
